A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Freddy,Lucy,1240,1241,the tune s right enough but the words are rotten why throw up the sponge,how stupidly you talk,Lucy; Mr. Beebe; Mrs. Honeychurch,M,intermediate,,
Lucy,Freddy,1241,1242,how stupidly you talk,this has been a day and a half,Freddy; Mr. Beebe; Mrs. Honeychurch,,,M,intermediate
Freddy,Mr. Beebe,1242,1243,this has been a day and a half,wait a minute she is finishing,Lucy; Mr. Beebe; Mrs. Honeychurch,M,intermediate,M,major
Mr. Beebe,Freddy,1243,1244,wait a minute she is finishing,i love weather like this,Freddy; Lucy; Mrs. Honeychurch,M,major,M,intermediate
Miss Catharine,Miss Teresa,1245,1246,but of course you know all about these things and you have mr vyse to help you a gentleman is such a stand by we think it so good of mr vyse to spare you it is not every young man who would be so unselfish but perhaps he will come out and join you later on,or does his work keep him in london,Lucy; Miss Teresa; Mrs. Honeychurch,,,F,minor
Miss Teresa,Miss Catharine,1246,1247,or does his work keep him in london,however we shall see him when he sees you off i do so long to see him,Lucy; Miss Catharine; Mrs. Honeychurch,F,minor,,
Miss Catharine,Mrs. Honeychurch,1247,1248,however we shall see him when he sees you off i do so long to see him,no one will see lucy off she doesn t like it,Lucy; Miss Teresa; Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1248,1249,no one will see lucy off she doesn t like it,no i hate seeings off,Lucy; Miss Catharine; Miss Teresa,F,major,,
Lucy,Miss Teresa,1249,1250,no i hate seeings off,really how funny i should have thought that in this case,Miss Catharine; Miss Teresa; Mrs. Honeychurch,,,F,minor
Miss Teresa,Miss Catharine,1250,1251,really how funny i should have thought that in this case,oh mrs honeychurch you aren t going it is such a pleasure to have met you,Lucy; Miss Catharine; Mrs. Honeychurch,F,minor,,
Miss Catharine,Lucy,1251,1252,oh mrs honeychurch you aren t going it is such a pleasure to have met you,that s all right we just got through that time,Lucy; Miss Teresa; Mrs. Honeychurch,,,,
Lucy,Mrs. Honeychurch,1252,1253,that s all right we just got through that time,i should be told dear that i am unsympathetic but i cannot see why you didn t tell your friends about cecil and be done with it there all the time we had to sit fencing and almost telling lies and be seen through too i dare say which is most unpleasant but why shouldn t it be everywhere in no time,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1253,1254,i should be told dear that i am unsympathetic but i cannot see why you didn t tell your friends about cecil and be done with it there all the time we had to sit fencing and almost telling lies and be seen through too i dare say which is most unpleasant but why shouldn t it be everywhere in no time,because i settled with cecil not to announce it until i left england i shall tell them then it s much pleasanter how wet it is let s turn in here oh well let it be shop then let s go to mudie s i ll buy a guide book,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1254,1255,because i settled with cecil not to announce it until i left england i shall tell them then it s much pleasanter how wet it is let s turn in here oh well let it be shop then let s go to mudie s i ll buy a guide book,you know lucy you and charlotte and mr beebe all tell me i m so stupid so i suppose i am but i shall never understand this hole and corner work you ve got rid of cecil well and good and i m thankful he s gone though i did feel angry for the minute but why not announce it why this hushing up and tip toeing,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1255,1256,you know lucy you and charlotte and mr beebe all tell me i m so stupid so i suppose i am but i shall never understand this hole and corner work you ve got rid of cecil well and good and i m thankful he s gone though i did feel angry for the minute but why not announce it why this hushing up and tip toeing,it s only for a few days,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1256,1257,it s only for a few days,but why at all,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1257,1258,but why at all,because george emerson has been bothering me and if he hears i ve given up cecil may begin again,Lucy,F,major,,
Mrs. Honeychurch,Lucy,1260,1261,you re tired of windy corner,i do not love george i broke off my engagement because i did not love george i must go to greece because i do not love george it is more important that i should look up gods in the dictionary than that i should help my mother everyone else is behaving very badly,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1262,1263,oh mother what rubbish you talk of course i m not tired of windy corner,then why not say so at once instead of considering half an hour,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1263,1264,then why not say so at once instead of considering half an hour,half a minute would be nearer,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1264,1265,half a minute would be nearer,perhaps you would like to stay away from your home altogether,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1265,1266,perhaps you would like to stay away from your home altogether,hush mother people will hear you of course i want to live at home but as we are talking about it i may as well say that i shall want to be away in the future more than i have been you see i come into my money next year i ve seen the world so little i felt so out of things in italy i have seen so little of life one ought to come up to london more not a cheap ticket like to day but to stop i might even share a flat for a little with some other girl,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1266,1267,hush mother people will hear you of course i want to live at home but as we are talking about it i may as well say that i shall want to be away in the future more than i have been you see i come into my money next year i ve seen the world so little i felt so out of things in italy i have seen so little of life one ought to come up to london more not a cheap ticket like to day but to stop i might even share a flat for a little with some other girl,and mess with typewriters and latch keys and agitate and scream and be carried off kicking by the police and call it a mission when no one wants you and call it duty when it means that you can t stand your own home and call it work when thousands of men are starving with the competition as it is and then to prepare yourself find two doddering old ladies and go abroad with them,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1267,1268,and mess with typewriters and latch keys and agitate and scream and be carried off kicking by the police and call it a mission when no one wants you and call it duty when it means that you can t stand your own home and call it work when thousands of men are starving with the competition as it is and then to prepare yourself find two doddering old ladies and go abroad with them,i want more independence,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1268,1269,i want more independence,very well take your independence and be gone rush up and down and round the world and come back as thin as a lath with the bad food despise the house that your father built and the garden that he planted and our dear view and then share a flat with another girl,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1269,1270,very well take your independence and be gone rush up and down and round the world and come back as thin as a lath with the bad food despise the house that your father built and the garden that he planted and our dear view and then share a flat with another girl,perhaps i spoke hastily,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1270,1271,perhaps i spoke hastily,oh goodness how you do remind me of charlotte bartlett,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1271,1272,oh goodness how you do remind me of charlotte bartlett,charlotte,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1272,1273,charlotte,more every moment,Mrs. Honeychurch,,,F,major
Mrs. Honeychurch,Lucy,1273,1274,more every moment,i don t know what you mean mother charlotte and i are not the very least alike,Lucy,F,major,,
Lucy,Mrs. Honeychurch,1274,1275,i don t know what you mean mother charlotte and i are not the very least alike,well i see the likeness the same eternal worrying the same taking back of words you and charlotte trying to divide two apples among three people last night might be sisters,Mrs. Honeychurch,,,F,major
